序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
41,美國,最瘋狂的旅程,2020/06/19,海樂影業股份有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",5,46,-85.63%,"10,270","3,489","782,130"
42,德國,彼得漢德克：我在森林，晚一點到,2020/06/19,佳映娛樂國際股份有限公司,The Match Factory GmbH,1,18,-78.82%,"3,090",423,"88,890"
43,英國,混沌之神,2020/06/19,暗光鳥有限公司,PROTAGONIST PICTURES LIMITED,1,0,-100.00%,0,141,"33,660"
44,英國,晚班,2020/06/12,威秀影城股份有限公司,CtrlMovie,3,969,-31.13%,"230,700","8,007","1,986,120"
45,美國,深海擴散,2020/06/12,光年映畫有限公司,"Epic Pictures Group, Inc.",29,661,-56.02%,"139,188","25,392","5,587,238"
46,美國,銀翼殺手最終版,2020/06/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,224,-36.36%,"57,287","7,322","1,777,254"
47,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,2,68,-53.10%,"15,210","3,463","787,471"
48,英國,普立茲記者,2020/06/12,聯影企業股份有限公司,WESTEND FILMS LTD,2,24,-74.47%,"4,920","2,332","504,719"
49,南韓,非常母親,2020/06/12,車庫娛樂股份有限公司,RELAY MOTION KFT.,2,16,-55.56%,"3,555","1,805","404,750"
50,德國,金魚俱樂部,2020/06/12,海鵬影業有限公司,Beta Cinema GmbH,2,16,-84.00%,"3,415","2,656","573,488"
51,美國,婚姻大崩壞,2020/06/12,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,0,-100.00%,0,"6,288","1,412,159"
52,中華民國,蚵豐村,2020/06/05,大島影像製作股份有限公司,大島影像製作股份有限公司 (TYDAL Productions)##Film and TV School of the Academy of Performing Arts in Prague,3,375,204.88%,"77,565","5,055","1,136,908"
53,南韓,詭妹,2020/06/05,車庫娛樂股份有限公司,RELAY MOTION KFT.,18,282,-78.41%,"66,363","35,843","8,574,511"
54,泰國,淒厲人僧,2020/06/05,威視股份有限公司,FIVE STAR PRODUCTION COMPANY LIMITED,12,78,-87.44%,"16,740","29,810","6,828,205"
55,西班牙,放飛大丈夫,2020/05/29,采昌國際多媒體股份有限公司,"TELECINCO CINEMA, S.A.U.",1,8,-50.00%,"1,670","5,672","1,299,657"
56,美國,1/2的魔法,2020/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"12,232",-22.80%,"2,843,293","231,916","54,355,183"
57,英國,謊畫情人,2020/05/22,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,HANWAY FILMS LIMITED,3,192,61.34%,"11,930","2,777","571,053"
58,美國,雙面遊戲,2020/05/22,原創娛樂股份有限公司,GEM Entertainment Kft.,1,13,0.00%,"2,080","3,434","795,511"
59,南韓,靈異405號房,2020/05/15,車庫娛樂股份有限公司,CONTENTS PANDA,1,26,-74.00%,"6,390","19,819","4,718,477"
60,法國,陪你玩最大,2020/05/08,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathé Films S.A.S,3,232,56.76%,"17,860","3,171","646,895"
61,香港,金都,2020/05/08,采昌國際多媒體股份有限公司,金都電影製作有限公司My Prince Edward Film Production Limited,1,22,83.33%,"3,360","3,676","809,026"
62,中華民國,老娘就要這麼活,2020/05/08,春暉映像有限公司,萊思捷有限公司,1,3,-98.86%,540,"2,384","533,496"
63,美國,壞教育,2020/04/30,香港商甲上娛樂有限公司台灣分公司,"Jellyfish Bloom International, LLC##Sight Unseen Pictures LLC",2,278,0.00%,"14,545","30,719","7,204,615"
64,德國,抽屍剝繭,2020/04/30,海鵬影業有限公司,GLOBAL SCREEN GMBH,1,0,-100.00%,0,"13,616","3,012,643"
65,日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",10,507,-30.74%,"127,857","101,889","25,958,046"
66,法國,吞噬,2020/04/24,本萃電影有限公司,CHARADES,1,26,-65.79%,"1,300","2,394","483,423"
67,澳洲,鑰命監獄,2020/04/17,天馬行空數位有限公司,"IPA-International Production Associates,Inc",5,260,-6.47%,"20,275","7,879","1,520,351"
68,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,3,73,-27.00%,"9,420","4,958","1,018,817"
69,日本,浪人47愁錢中,2020/04/17,可樂藝術文創股份有限公司,"MCIP Holdings Co., LTD.",1,13,0.00%,"2,080","1,275","283,627"
70,法國,戀愛倒帶中,2020/04/17,光年映畫有限公司,CHARADES,1,5,-77.27%,750,"1,697","365,894"
71,日本,來自深淵 深沉靈魂的黎明,2020/04/10,向洋影業有限公司,株式会社KADOKAWA,1,57,26.67%,"15,428","24,148","6,733,325"
72,美國,女聲我最美,2020/04/10,采昌國際多媒體股份有限公司,EMBANKMENT FILMS LIMITED,1,26,85.71%,"3,800","2,302","483,281"
73,美國,搞鬼,2020/04/09,香港商甲上娛樂有限公司台灣分公司,BANKSIDE FILMS LTD,2,34,0.00%,"5,440","24,533","5,633,205"
74,英國,馴悍記,2020/04/08,威秀影城股份有限公司,Trafalgar Releasing Limited,5,11,0.00%,"7,560",131,"91,560"
75,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",8,346,-42.43%,"86,056","64,739","15,852,869"
76,美國,間諜速成班,2020/04/01,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",4,423,-18.97%,"27,245","21,826","4,648,002"
77,美國,魔髮精靈唱遊世界,2020/04/01,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,213,0.00%,"11,030","11,084","2,489,307"
78,法國,迷雁返家路,2020/03/27,可樂藝術文創股份有限公司,Société Nouvelle de Distribution (SND),2,148,-19.13%,"7,850","3,131","510,858"
79,美國,最後晚安曲,2020/03/20,本萃電影有限公司,Westend Films Ltd.,2,86,230.77%,"9,080","1,800","374,475"
80,中華民國,練愛iNG,2020/03/13,威視股份有限公司,量能文創股份有限公司##聚善美文創娛樂有限公司##遊戲橘子數位科技股份有限公司##恆動工作室##天鵬翱翔集團有限公司,1,8,-60.00%,"1,120","39,642","9,100,499"
81,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",6,868,-20.29%,"60,675","263,253","62,245,836"
82,南韓,明明會說話,2020/03/06,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,LittleBig Pictures,1,9,-52.63%,"1,340","21,063","4,570,156"
83,中華民國,女鬼橋,2020/02/27,星泰國際娛樂股份有限公司,樂到家國際娛樂股份有限公司##天馬傳播事業有限公司##得藝文創國際股份有限公司##大慕影藝國際事業股份有限公司##氧氣電影有限公司##華映娛樂股份有限公司##海樂影業股份有限公司,2,106,0.00%,"6,340","253,240","58,095,845"
84,美國,隱形人,2020/02/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,48,20.00%,"5,350","222,813","52,553,792"
85,香港,叔．叔,2020/02/27,采昌國際多媒體股份有限公司,先響電影有限公司New Voice Film Productions Ltd,1,28,0.00%,"3,180","2,733","613,486"
86,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,2,10,233.33%,"2,181","28,956","7,035,758"
87,美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,1,24,0.00%,"10,800","103,566","24,118,610"
88,美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,130,-2.26%,"14,690","472,147","112,506,792"
89,南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",3,362,"2,485.71%","19,205","23,030","5,254,562"
90,美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,51,-36.25%,"5,810","179,192","40,575,640"
91,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,9,-35.71%,"1,260","181,808","41,425,337"
92,日本,巧虎電影 英雄遊樂園,2020/01/17,全民大劇團股份有限公司,法人倍樂生株式會社,17,177,-5.35%,"42,504","19,968","4,729,455"
93,美國,兔嘲男孩,2020/01/03,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,48,108.70%,"5,440","91,180","21,102,978"
94,法國,燃燒女子的畫像,2019/12/20,東昊影業有限公司,MK2 Films,1,40,11.11%,"9,100","15,553","3,427,408"
95,香港,葉問4：完結篇,2019/12/19,華映娛樂股份有限公司,東方影業出品有限公司,1,28,-73.33%,"3,110","809,557","185,425,478"
96,美國,花生醬獵鷹的願望,2019/12/06,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,2,172,-11.34%,"9,290","2,977","547,823"
97,法國,許怨房,2019/11/22,采昌國際多媒體股份有限公司,ELLE DRIVER,1,16,-63.64%,"2,360","9,198","2,036,375"
98,美國,冰雪奇緣2,2019/11/21,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,27,0.00%,"2,970","1,453,844","343,891,878"
99,南韓,EYES ON ME : THE MOVIE,2019/11/16,威秀影城股份有限公司,CJ 4DPLEX,10,113,-87.57%,"53,580","3,425","1,563,680"
100,日本,為美好的世界獻上祝福！紅傳說,2019/11/15,向洋影業有限公司,株式会社KADOKAWA,5,205,-9.29%,"92,070","43,995","11,417,586"
101,日本,天氣之子,2019/09/12,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,282,-40.38%,"83,817","704,707","168,595,265"
102,美國,她的搖滾滋味,2019/07/05,原創娛樂股份有限公司,GEM ENTERTAINMENT KFT,1,1,0.00%,150,194,"39,340"
103,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019/06/14,曼迪傳播有限公司,KING RECORD COMPANY LIMITED,1,112,0.00%,"26,880","10,642","2,782,606"
104,西班牙,逆轉劫局,2019/06/11,采昌國際多媒體股份有限公司,"CASTELAO PICTURES, S.L.",1,5,-58.33%,750,"4,391","955,718"
105,加拿大,哈柏太空之旅 3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,652,"95,725"
106,加拿大,深海獵奇 3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,"1,232","153,784"
107,美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,5,13,-23.53%,"2,730","715,774","166,750,558"
108,法國,新橋戀人,2018/12/28,東昊影業有限公司,Studiocanal S.A.S,1,13,-48.00%,"2,550","4,763","1,025,690"
109,波蘭,沒有煙硝的愛情,2018/12/08,東昊影業有限公司,MK2 Films,1,13,-13.33%,"2,580","9,489","2,070,453"
110,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,31,182,-75.10%,"45,735","160,695","37,543,079"
111,南韓,我要復仇,2018/06/15,車庫娛樂股份有限公司,CJ E&M CORPORATION,2,6,-88.68%,"1,275","1,171","260,712"
112,南韓,親切的金子,2018/05/25,車庫娛樂股份有限公司,CJ E&M CORPORATION,2,6,-88.24%,"1,295","1,933","428,773"
113,南韓,原罪犯,2018/05/11,車庫娛樂股份有限公司,(香港)INFINITY ENTERTAINMENT LTD.,2,16,-75.76%,"3,605","2,490","557,021"
114,美國,大娛樂家,2017/12/20,美商廿世紀福斯影片股份有限公司台灣分公司,(美國)TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,34,299,-76.46%,"72,847","398,491","92,627,073"
115,日本,遊戲人生,2017/12/08,香港商甲上娛樂有限公司台灣分公司,(日本)KADOKAWA CORPORATION,1,8,-42.86%,"3,000","127,978","38,445,556"
116,西班牙,抓狂酒吧,2017/08/11,東昊影業有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",1,1,0.00%,150,"7,451","1,638,305"
117,美國,墨利斯的情人 經典數位修復,2017/05/26,天馬行空數位有限公司,"INTERNATIONAL PRODUCTION ASSOCIATES,INC.(IPA)",1,31,-39.22%,"6,080","3,401","720,791"
118,美國,此情可問天 經典數位修復,2017/05/08,天馬行空數位有限公司,"INTERNATIONAL PRODUCTION ASSOCIATES,INC.(IPA)",1,28,-48.15%,"5,140","1,011","209,888"
119,日本,電影版聲之形,2017/03/24,采昌國際多媒體股份有限公司,(匈牙利)ATRIUM PRODUCTIONS KFT.,1,8,-65.22%,"1,600","295,897","69,152,425"
120,美國,羅根,2017/02/28,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,1,0,-100.00%,0,"942,291","221,791,155"
121,日本,刀劍神域劇場版-序列爭戰,2017/02/24,木棉花國際股份有限公司,ANIPLEX INC.,2,4,0.00%,850,"214,453","55,935,832"
122,法國,終極追殺令,2016/11/25,南強國際影視傳播有限公司,GAUMONT,1,6,0.00%,"1,150","7,899","1,813,009"
123,法國,碧海藍天,2016/08/26,南強國際影視傳播有限公司,GAUMONT,1,0,-100.00%,0,"8,990","2,051,009"
124,南韓,關不住的誘惑,2016/08/12,可樂藝術文創股份有限公司,SHOWBOX CORP.,1,23,53.33%,"3,490",722,"158,560"
125,中華民國,屍憶,2015/08/20,威秀影城股份有限公司,好好電影工作室有限公司##好好影業中國有限公司##大聲創意國際事業有限公司##玫黎桑國際娛樂有限公司##雅慕斯娛樂股份有限公司##量能文創股份有限公司,5,33,-90.70%,"7,016",799,"198,492"
126,南韓,諜影殺機,2014/07/11,可樂藝術文創股份有限公司,SHOWBOX/MEDIAPLEX INC.,1,14,-26.32%,"2,160","1,060","225,410"
127,南韓,大叔,2010/01/01,車庫娛樂股份有限公司,OPUS PICTURES,1,7,-83.33%,"1,810",663,"150,107"
128,香港,射鵰英雄傳之東成西就,2009/01/23,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,春光映畫(Block 2 Pictures Inc.)##學者股份有限公司,33,651,-67.32%,"157,980","13,690","3,312,950"
129,美國,黑暗騎士,2008/07/16,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,12,259,208.33%,"82,948","22,986","6,551,607"
130,美國,刺激1995,1995/03/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,182,-51.08%,"16,005","25,238","5,913,292"
131,英國,烈火情人,1993/04/03,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,1,11,-79.63%,"2,230","4,835","1,076,732"
132,中華民國,牯嶺街少年殺人事件,1991/07/27,中影股份有限公司,楊德昌電影有限公司##中影股份有限公司,1,21,-84.21%,"4,225","11,606","2,808,078"
133,英國,末代皇帝,1988/04/23,香港商甲上娛樂有限公司台灣分公司,Hanway Films Limited,9,475,-48.92%,"113,340","53,453","13,227,636"
134,中華民國,海灘的一天,1983/11/11,中影股份有限公司,(中華民國)中影股份有限公司##(香港)新藝城影業公司,1,29,-71.00%,"5,700","5,453","1,224,820"
135,美國,北非諜影,1947/01/31,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,139,-36.24%,"36,411","5,085","1,165,490"
